seq_name,primary_matches,potential_primaries,control_matches,potential_controls,rate_ratio,fisher_p
B.SE.1989.p8_822_1989.U68505,3.0,17.0,2.0,17.0,1.50,0.5
B.SE.2002.SE_P72.24551.EU010340,1.0,24.0,2.0,28.0,0.58,0.851765
B.SE.2001.SE_P43.21533.EU010314,5.0,24.0,1.0,28.0,5.83,0.065069
01_AE.VN.2007.07_HN102.FJ009358,1.0,18.0,6.0,21.0,0.19,0.99244
D.SE.-.SE8384.U76146,3.0,15.0,2.0,19.0,1.90,0.383614
B.LV.1999.99LV_MSM014_1998_V3.EU702714,2.0,27.0,0.0,26.0,inf,0.254717
A6.LV.2005.05LV_S2146_2005_v3_A1.FJ429472,2.0,24.0,4.0,26.0,0.54,0.886163
A1.KE.-.PP109A_B0118_econB21.JF294601,2.0,32.0,9.0,42.0,0.29,0.987711
B.GL.2003.GRL108.AM285098,2.0,25.0,5.0,24.0,0.38,0.956799
B.LV.2002.02LV_HET068_1996_V3.EU702682,1.0,29.0,2.0,23.0,0.40,0.919864
13_cpx.GL.2004.GRL100.AM285274,16.0,161.0,14.0,107.0,0.76,0.840863
B.GL.2003.GRL108.AM285190,2.0,46.0,2.0,45.0,0.98,0.700025
B.SE.2002.SE_P65.23438.EU010334,2.0,26.0,2.0,27.0,1.04,0.680355
01_AE.VN.2006.06_HN87.FJ009330,2.0,20.0,5.0,19.0,0.38,0.961444
B.GL.2003.GRL107.AM285097,1.0,25.0,3.0,26.0,0.35,0.940176
B.LV.1998.98LV_IDU001_1995_V3.EU702685,0.0,27.0,2.0,24.0,0.00,1
B.LV.1999.99LV_HET070_1997_V3.EU702684,2.0,23.0,5.0,26.0,0.45,0.930698
B.LV.2005.05LV_S2108_2005_v3_B.FJ429450,1.0,26.0,3.0,28.0,0.36,0.935257
A6.LV.2005.05LV_S2103_2005_v3_A1.FJ429447,3.0,24.0,5.0,27.0,0.68,0.83474
B.GL.2001.GRL67.AM285169,2.0,39.0,3.0,39.0,0.67,0.820779
A1D.KE.-.PP81A_A0726_ecxB11s3.JF294906,2.0,32.0,9.0,44.0,0.31,0.984797
B.SE.2001.SE_P59.22947.EU010329,0.0,24.0,1.0,29.0,0.00,1
D.SE.-.C2_X4_ci.AY619819,3.0,23.0,6.0,27.0,0.59,0.888075
B.SE.1996.SE_P12.9744.EU010303,2.0,28.0,2.0,24.0,0.86,0.751416
01_AE.VN.2007.07_HN97.FJ009352,1.0,17.0,6.0,21.0,0.21,0.990786
B.GL.2004.GRL105.AM285095,2.0,25.0,4.0,27.0,0.54,0.886325
B.GL.1999.GRL41.AM285060,1.0,23.0,5.0,26.0,0.23,0.983536
B.GL.1999.GRL11.AM285040,3.0,27.0,4.0,26.0,0.72,0.805617
B.SE.1988.p1_719_1988.U68497,1.0,18.0,3.0,17.0,0.31,0.954545
B.SE.1987.3294GA.L39049,1.0,32.0,1.0,41.0,1.28,0.687976
B.IT.1991.A_190.L08307,0.0,9.0,1.0,9.0,0.00,1
B.IT.-.A_130.L08305,0.0,10.0,1.0,8.0,0.00,1
B.LV.2003.03LV_MSM027_2003_V3.EU702726,0.0,24.0,3.0,27.0,0.00,1
B.LV.2005.05LV_IDU_S2009_2005_p17_B.FJ429476,3.0,44.0,4.0,47.0,0.80,0.754577
A6.LV.2005.05LV_S2152_2005_v3_A1.FJ429473,4.0,26.0,5.0,27.0,0.83,0.747125
A6.LV.2005.05LV_S2130_2005_v3_A1.FJ429463,3.0,26.0,6.0,26.0,0.50,0.930002
A6.LV.2005.05LV_S2044_2005_v3_A1.FJ429417,3.0,24.0,5.0,28.0,0.70,0.819936
D.UG.-.PP67A_A0986_ecx31B10_doublepeaks.JF294878,5.0,33.0,8.0,45.0,0.85,0.727663
A1.TZ.-.A0611_A0611_econB20.JF294839,2.0,33.0,13.0,46.0,0.21,0.998437
C.ZM.-.PP25A_A0413_econBr1s2.JF294598,4.0,40.0,12.0,52.0,0.43,0.975124
A1.UG.2004.BM-004-0.KC329756,1.0,27.0,7.0,29.0,0.15,0.996978
B.SE.1996.SE_P13.10442.EU010284,2.0,26.0,2.0,26.0,1.00,0.695078
D.UG.-.PP104B_A0910_gconB16s1.HQ423932,10.0,111.0,16.0,115.0,0.65,0.914226
A1C.ZA.-.PP93B_A0723_ecx49B12.JF294054,4.0,40.0,13.0,48.0,0.37,0.990683
B.SE.2001.SE_P51.22239.EU010322,1.0,24.0,1.0,25.0,1.04,0.744898
B.SE.1997.SE_P24.13049.EU010278,0.0,19.0,1.0,23.0,0.00,1
B.GL.2003.GRL99.AM285089,4.0,26.0,2.0,25.0,1.92,0.353133
B.GL.2002.GRL40.AM285059,3.0,26.0,4.0,25.0,0.72,0.806931
B.GL.1999.GRL27.AM285053,4.0,27.0,4.0,25.0,0.93,0.692205
A.SE.-.SE8553.U76149,2.0,13.0,5.0,18.0,0.55,0.896122
A.SE.-.SE8131.U76121,3.0,17.0,1.0,19.0,3.35,0.25974
B.RU.-.RU6.U69648,1.0,17.0,2.0,17.0,0.50,0.886364
B.RU.-.RU3.U69646,0.0,19.0,2.0,16.0,0.00,1
F1.AR.1993.AR20016.U68522,3.0,20.0,2.0,15.0,1.12,0.640353
AD.SE.1993.SE6944E.L40748,2.0,13.0,2.0,22.0,1.69,0.477941
A6.LV.2003.03LV_MSM025_2003_V3.EU702724,2.0,23.0,6.0,29.0,0.42,0.946594
A6.LV.2005.05LV_IDU_S2070_2005_v3_A1.FJ429428,2.0,24.0,6.0,27.0,0.38,0.963043
A6.LV.2005.05LV_S2068_2005_v3_A1.FJ429427,3.0,25.0,5.0,27.0,0.65,0.849544
B.GL.1999.GRL2.AM285123,2.0,39.0,2.0,43.0,1.10,0.654266
B.IT.-.B_201_4399.L08285,0.0,20.0,1.0,18.0,0.00,1
D.UG.-.PP104B_A0910gconRetest.HQ423777,9.0,103.0,13.0,91.0,0.61,0.925565
C.ZA.-.PP53A_B0222_econB8.JF294979,4.0,36.0,8.0,42.0,0.58,0.901549
C.ZA.-.PP3A_A0811_esm14B4.JF294169,3.0,32.0,12.0,46.0,0.36,0.986569
C.ZA.-.PP3A_A0811_esm42B4.JF294023,5.0,35.0,12.0,46.0,0.55,0.943639
A1.UG.2004.BM-017-0.KC329761,4.0,27.0,6.0,29.0,0.72,0.82132
01_AE.VN.-.HP27.FJ009366,1.0,19.0,7.0,21.0,0.16,0.997354
B.GL.2000.GRL59.AM285073,0.0,22.0,3.0,26.0,0.00,1
A1.KE.-.PP109A_B0118gconB21.HQ423763,11.0,110.0,12.0,93.0,0.78,0.808647
A1C.UG.-.PP115A_A0429_econB22.JF294357,7.0,37.0,8.0,47.0,1.11,0.521405
B.SE.2002.SE_P67.24552.EU010341,1.0,27.0,2.0,26.0,0.48,0.889012
01_AE.SE.2002.SE_P82.26366.EU010272,2.0,25.0,5.0,26.0,0.42,0.944603
B.GL.2002.GRL76.AM285176,3.0,43.0,2.0,38.0,1.33,0.559212
B.GL.1999.GRL38.AM285148,2.0,41.0,2.0,40.0,0.98,0.701594
B.GL.1999.GRL11.AM285131,1.0,41.0,3.0,42.0,0.34,0.93909
B.GL.1999.GRL15.AM285044,3.0,26.0,4.0,26.0,0.75,0.790542
B.GL.1999.GRL6.AM285036,3.0,26.0,5.0,26.0,0.60,0.875767
B.SE.1999.99SE_18230.AY165222,8.0,199.0,6.0,159.0,1.07,0.564886
D.SE.-.SE6339.U76129,3.0,14.0,3.0,20.0,1.43,0.481962
B.LV.2005.05LV_MSM_S2126_2005_v3_B.FJ429462,0.0,24.0,5.0,29.0,0.00,1
A6.LV.2005.05LV_IDU_S2024_2005_v3_A1.FJ429403,4.0,25.0,5.0,29.0,0.93,0.684446
A6.LV.2001.01LV_N0802.AY291025,3.0,27.0,5.0,29.0,0.64,0.849936
C.SE.-.SE7564.U76184,4.0,19.0,3.0,16.0,1.12,0.602336
G.SE.-.SE8552.U76152,2.0,15.0,4.0,21.0,0.70,0.815433
A.SE.-.SE8551.U76151,3.0,13.0,4.0,21.0,1.21,0.552211
C.SE.-.SE6077.U76123,4.0,20.0,1.0,14.0,2.80,0.299487
C.SE.-.SE7159.U76117,3.0,20.0,3.0,15.0,0.75,0.800134
B.RU.-.RU13.U69666,0.0,20.0,2.0,15.0,0.00,1
B.RU.-.RU28.U69662,0.0,19.0,2.0,16.0,0.00,1
B.RU.-.RU12.U69651,1.0,21.0,1.0,13.0,0.62,0.860963
AD.SE.1993.SE6967E.L40749,2.0,14.0,4.0,22.0,0.79,0.772415
B.LV.2002.02LV_MSM030_1990_B.EU702598,2.0,45.0,4.0,51.0,0.57,0.866547
C.ZM.-.PP10A_A0140_ecx_7Br3.JF294918,4.0,34.0,9.0,45.0,0.59,0.902111
01_AE.VN.2007.07_HP24.FJ009355,1.0,18.0,8.0,24.0,0.17,0.997068
B.LV.2001.01LV_N0778.AY291014,0.0,28.0,4.0,29.0,0.00,1
C.KE.-.PP48A_B0717_econB7original.JF294771,4.0,36.0,10.0,45.0,0.50,0.94878
C.ZA.-.SC1B_B0010_ECON_BKG17.JF294144,4.0,35.0,11.0,45.0,0.47,0.964156
C.KE.-.PP48A_B0717_econB8.JF294139,4.0,36.0,10.0,45.0,0.50,0.94878
C.ZM.-.PP14A_A0097_econB4.JF294116,3.0,33.0,8.0,42.0,0.48,0.941148
B.SE.2003.SE_P91.27785.EU010359,0.0,23.0,0.0,27.0,undef,1
B.SE.2002.SE_P62.23377.EU010332,0.0,24.0,4.0,27.0,0.00,1
B.SE.2001.SE_P44.21534.EU010315,1.0,29.0,5.0,25.0,0.17,0.993143
B.SE.1987.SE_P1.408.EU010291,0.0,18.0,2.0,18.0,0.00,1
B.SE.1996.SE_P14.10471.EU010285,1.0,26.0,1.0,25.0,0.96,0.764706
B.GL.2000.GRL56.AM285070,2.0,26.0,4.0,28.0,0.54,0.886475
B.GL.1999.GRL25.AM285051,3.0,27.0,1.0,26.0,2.89,0.319645
B.GL.1999.GRL7.AM285037,0.0,26.0,5.0,27.0,0.00,1
B.GL.1999.GRL4.AM285034,3.0,26.0,3.0,24.0,0.92,0.704661
A.SE.-.SE8566.U76186,2.0,15.0,3.0,20.0,0.89,0.728372
A.SE.-.SE8566.U76183,3.0,24.0,7.0,28.0,0.50,0.934468
B.IT.-.A_136_3149.L08289,0.0,9.0,1.0,8.0,0.00,1
B.LV.2001.01LV_MSM031_1990_V3.EU702730,0.0,24.0,1.0,27.0,0.00,1
02A1.LV.2003.03LV_HET046_2003_V3.EU702662,4.0,23.0,7.0,28.0,0.70,0.840944
B.LV.2002.02LV_MSM043_1997_B.EU702611,2.0,45.0,4.0,50.0,0.56,0.872013
A6.LV.2005.05LV_IDU_S2144_2005_v3_A1.FJ429471,3.0,26.0,6.0,28.0,0.54,0.911144
A6.LV.2005.05LV_HET_S2116_2005_v3_A1.FJ429454,2.0,23.0,4.0,29.0,0.63,0.842504
A6.LV.2005.05LV_S2036_2005_v3_A1.FJ429412,2.0,24.0,7.0,28.0,0.33,0.977847
B.SE.1995.P8a_19950825.GU204943,11.0,281.0,20.0,276.0,0.54,0.97197
C.BW.-.PP36A_A0516_Econ_b6_7.JF294612,4.0,35.0,9.0,41.0,0.52,0.937721
C.BW.-.PP106A_B0356_Envcon_b16_17.JF294438,3.0,29.0,8.0,38.0,0.49,0.936894
A1.UG.-.PP121A_B0050_econB23.JF294401,4.0,32.0,8.0,47.0,0.73,0.805961
A1.UG.-.PP103A_B0248_Econ_b16_39.JF293958,3.0,31.0,10.0,43.0,0.42,0.96955
B.GL.2003.GRL107.AM285280,8.0,157.0,7.0,117.0,0.85,0.723609
G.LV.2002.02LV_HET014_2002_V3.EU702630,6.0,24.0,7.0,28.0,1.00,0.624016
B.LV.2000.00LV_MSM044_1997_B.EU702612,3.0,48.0,3.0,47.0,0.98,0.67143
C.ZA.-.PP3A_A0811_esm43B4.JF294628,3.0,33.0,12.0,45.0,0.34,0.989835
C.ZA.-.PP118A_A0091_C6.JF294403,4.0,31.0,8.0,33.0,0.53,0.932174
D.UG.-.PP113B_A0767_econB21.JF293984,4.0,22.0,9.0,45.0,0.91,0.686131
D.UG.-.PP113A_B0494_econB21.JF293516,3.0,28.0,11.0,49.0,0.48,0.948923
B.GL.1999.GRL22.AM285231,7.0,156.0,6.0,117.0,0.88,0.705389
B.GL.2002.GRL96.AM285178,0.0,42.0,4.0,41.0,0.00,1
B.GL.1999.GRL39.AM285149,2.0,44.0,2.0,40.0,0.91,0.727334
A6.LV.2001.01LV_N0441.AY290994,3.0,25.0,5.0,30.0,0.72,0.80709
A6.LV.2001.01LV_N0093.AY290992,2.0,27.0,5.0,29.0,0.43,0.937968
A.SE.-.SE9562.U76181,5.0,27.0,2.0,25.0,2.31,0.242982
A.SE.-.SE8538.U76147,1.0,14.0,5.0,21.0,0.30,0.966569
B.SE.-.SE7901.U76144,0.0,19.0,2.0,16.0,0.00,1
A6.LV.2005.05LV_S2131_2005_p17_A1.FJ429541,5.0,50.0,9.0,48.0,0.53,0.937332
A6.LV.2005.05LV_IDU_S2120_2005_v3_A1.FJ429458,3.0,24.0,8.0,28.0,0.44,0.962871
A6.LV.2005.05LV_IDU_S2087_2005_v3_A1.FJ429436,3.0,24.0,7.0,28.0,0.50,0.934468
C.BW.-.PP36A_A0516_Econ_b6_4.JF293964,4.0,34.0,9.0,42.0,0.55,0.923994
B.DK.2000.PT263_0.AM285212,1.0,43.0,2.0,43.0,0.50,0.879412
B.GL.2000.GRL60.AM285165,1.0,43.0,3.0,41.0,0.32,0.947515
B.GL.2002.GRL96.AM285087,3.0,27.0,4.0,25.0,0.69,0.821272
B.GL.2000.GRL58.AM285072,3.0,26.0,3.0,26.0,1.00,0.666024
B.GL.1999.GRL38.AM285057,4.0,28.0,2.0,25.0,1.79,0.390994
B.GL.1999.GRL3.AM285033,3.0,27.0,3.0,25.0,0.93,0.702741
C.SE.2000.00SE_19451.AY165230,19.0,206.0,18.0,160.0,0.82,0.79226
C.SE.1999.99SE_17178.AY165213,17.0,208.0,18.0,156.0,0.71,0.895246
C.SE.1999.99SE_17087.AY165211,20.0,211.0,20.0,154.0,0.73,0.890074
C.SE.-.SE8890.U76171,6.0,22.0,8.0,20.0,0.68,0.885281
B.LV.2002.02LV_MSM047_1997_V3.EU702745,0.0,24.0,4.0,28.0,0.00,1
B.LV.2000.00LV_MSM046_1997_V3.EU702744,1.0,24.0,3.0,28.0,0.39,0.92437
B.LV.2002.02LV_MSM039_1995_V3.EU702737,1.0,26.0,4.0,24.0,0.23,0.979939
B.LV.2002.02LV_MSM036_1993_V3.EU702735,0.0,24.0,3.0,27.0,0.00,1
A6.LV.2002.02LV_IDU014_1998_V3.EU702697,2.0,24.0,5.0,29.0,0.48,0.915914
A6.LV.2005.05LV_HET_S2099_2005_v3_A1.FJ429444,3.0,25.0,7.0,27.0,0.46,0.94996
A6.LV.2005.05LV_S2019_2005_v3_A1.FJ429399,4.0,25.0,6.0,28.0,0.75,0.80299
C.ZA.-.PP3A_A0811_esm35B4.JF294855,4.0,33.0,12.0,46.0,0.46,0.967553
C.ZA.-.PP118A_A0091_G5.JF293794,6.0,37.0,9.0,43.0,0.77,0.794715
B.GL.2004.GRL105.AM285278,4.0,156.0,9.0,116.0,0.33,0.988557
B.GL.2000.GRL60.AM285257,3.0,157.0,6.0,119.0,0.38,0.963525
A1.DK.1999.PT178_0.AM285209,6.0,47.0,8.0,46.0,0.73,0.81928
A6.LV.2001.01LV_N0794.AY291056,2.0,26.0,4.0,31.0,0.60,0.857971
B.LV.2001.01LV_N0178.AY291048,0.0,30.0,2.0,28.0,0.00,1
A6.LV.2001.01LV_N0165.AY290984,3.0,26.0,5.0,31.0,0.72,0.809037
01_AE.SE.2000.00SE_19889.AY165239,16.0,208.0,18.0,162.0,0.69,0.904614
C.ZA.-.PP118A_A0091_E12.JF294975,5.0,39.0,11.0,47.0,0.55,0.939303
C.BW.-.PP36A_A0516_Econ_b6_10.JF294646,5.0,36.0,9.0,40.0,0.62,0.897544
C.BW.-.PP36A_A0516_Econ_b6_13.JF294526,5.0,37.0,9.0,41.0,0.62,0.897883
C.ZM.-.PP23A_A0800_ecxB9s1.JF294340,3.0,35.0,10.0,45.0,0.39,0.977409
C.ZA.-.PP56A_B0641_econB7original.JF294241,4.0,36.0,11.0,40.0,0.40,0.982981
C.ZA.-.PP118A_A0091_C2.JF293842,4.0,36.0,11.0,47.0,0.47,0.960977
C.BW.-.PP36A_A0516_Econ_b6_19.JF293735,4.0,35.0,9.0,42.0,0.53,0.931481
B.GL.1999.GRL25.AM285142,3.0,43.0,2.0,41.0,1.43,0.522869
B.GL.1999.GRL5.AM285126,2.0,45.0,2.0,36.0,0.80,0.771476
01_AE.VN.2002.02VN119.AY283410,8.0,50.0,6.0,46.0,1.23,0.453388
A6.LV.2001.01LV_N0725.AY290867,5.0,49.0,10.0,49.0,0.50,0.95503
C.SE.1999.99SE_17317.AY165216,20.0,202.0,17.0,150.0,0.87,0.729946
C.SE.1995.SE8899.U76161,3.0,26.0,6.0,23.0,0.44,0.954615
C.SE.-.SE9283.U76176,2.0,28.0,7.0,22.0,0.22,0.996228
D.SE.-.SE_u1352.U76116,0.0,18.0,4.0,17.0,0.00,1
B.LV.2005.05LV_MSM_S2088_2005_v3_B.FJ429437,0.0,24.0,5.0,27.0,0.00,1
B.SE.1991.P1b_19910605.GU204923,8.0,293.0,11.0,271.0,0.67,0.865947
C.ZM.-.PP6B_B0085gconB4.HQ423837,6.0,82.0,11.0,83.0,0.55,0.935512
D.UG.-.PP33B_B0773_econB6.JF294614,5.0,34.0,9.0,45.0,0.74,0.817177
A1.KE.-.PP63A_A0600_esm63B10.JF294385,4.0,33.0,11.0,48.0,0.53,0.93873
C.ZA.-.PP118A_A0091_F3.JF294257,4.0,36.0,8.0,45.0,0.62,0.876546
C.BW.-.PP106A_B0356_envcon_b16_14.JF293536,4.0,29.0,7.0,38.0,0.75,0.79784
A1.UG.2004.BM-027-0.KC329766,3.0,22.0,8.0,32.0,0.55,0.916137
B.SE.2001.SE_P75.24678.EU010344,1.0,26.0,1.0,28.0,1.08,0.735849
B.GL.2003.GRL108.AM285281,9.0,158.0,8.0,115.0,0.82,0.752975
B.DK.2000.263.AJ419478,6.0,152.0,5.0,111.0,0.88,0.706358
B.SE.2000.00SE_19576.AY165234,8.0,209.0,9.0,163.0,0.69,0.847547
A.SE.-.SE7889.U76143,2.0,13.0,7.0,21.0,0.46,0.943961
B.AR.1993.AR21281.U68525,0.0,19.0,0.0,15.0,undef,1
B.SE.1987.4771PO-control.L39021,3.0,71.0,3.0,53.0,0.75,0.786277
B.SE.1987.4029PO-control.L39043,3.0,71.0,2.0,50.0,1.06,0.66208
B.LV.2003.03LV_MSM049_1996_V3.EU702746,0.0,26.0,6.0,26.0,0.00,1
B.LV.1999.99LV_MSM011_1999_V3.EU702711,2.0,25.0,2.0,28.0,1.12,0.650388
B.LV.1998.98LV_MSM009_1998_V3.EU702709,0.0,26.0,4.0,26.0,0.00,1
B.LV.1998.98LV_MSM004_1998_V3.EU702705,3.0,26.0,3.0,28.0,1.08,0.628825
A6.LV.2002.02LV_HET010_2002_V3.EU702627,3.0,24.0,5.0,29.0,0.72,0.804974
A1.KE.-.PP123A_B0948gconB23.HQ423739,12.0,108.0,13.0,97.0,0.83,0.762593
C.ZA.-.PP118A_A0091_F9.JF294554,5.0,39.0,10.0,46.0,0.59,0.914472
A1.UG.-.PP103A_B0248_Econ_b16_2.JF294274,2.0,24.0,7.0,40.0,0.48,0.923054
A1D.KE.-.PP81A_A0726_ecxB11s8.JF293773,3.0,37.0,9.0,44.0,0.40,0.972324
A1.UG.-.PP103A_B0248_Econ_b16_27.JF293698,2.0,33.0,9.0,42.0,0.28,0.989213
A1.UG.2004.BM-011-0.KC329758,3.0,29.0,7.0,28.0,0.41,0.965836
B.SE.1997.SE_P26.13148.EU010280,3.0,25.0,0.0,25.0,inf,0.117347
B.GL.1999.GRL6.AM285220,9.0,155.0,8.0,118.0,0.86,0.721541
B.DK.2000.PT203_0.AM285211,4.0,43.0,0.0,41.0,inf,0.0639595
B.GL.2004.GRL104.AM285186,3.0,45.0,2.0,40.0,1.33,0.556369
B.GL.2001.GRL72.AM285172,1.0,45.0,1.0,39.0,0.87,0.787435
B.GL.2000.GRL59.AM285164,2.0,41.0,2.0,43.0,1.05,0.673806
B.GL.1999.GRL22.AM285140,1.0,46.0,2.0,45.0,0.49,0.883195
B.GL.1999.GRL15.AM285135,3.0,42.0,2.0,43.0,1.54,0.4887
B.GL.1999.GRL13.AM285133,2.0,43.0,2.0,42.0,0.98,0.700921
A6.LV.2001.01LV_N0753.AY290993,3.0,27.0,5.0,31.0,0.69,0.824018
C.SE.2001.01SE_21837.AY165263,17.0,209.0,17.0,160.0,0.77,0.841711
A1G.SE.2000.00SE_20018.AY165243,16.0,207.0,23.0,162.0,0.54,0.984984
B.SE.1987.p8_159_1987.U68504,3.0,18.0,3.0,19.0,1.06,0.643208
A.SE.-.SE8889.U76170,2.0,23.0,6.0,26.0,0.38,0.962988
D.SE.-.SE6488.U76164,2.0,19.0,6.0,27.0,0.47,0.926829
B.LV.1998.98LV_MSM008_1998_B.EU702579,3.0,48.0,3.0,48.0,1.00,0.661346
A6.LV.2004.04LV_HET054_2003_A1.EU702539,5.0,50.0,10.0,48.0,0.48,0.962615
A6.LV.2003.03LV_HET045_2003_A1.EU702531,5.0,48.0,9.0,48.0,0.56,0.926792
A6.LV.2005.05LV_IDU_S2079_2005_v3_A1.FJ429432,3.0,24.0,7.0,26.0,0.46,0.950207
C.BW.-.PP106A_B0356_Envcon_b16_19.JF294735,3.0,28.0,8.0,39.0,0.52,0.922509
